LTV,valor_1_compra,recorrente_1_compra,mes_compra,dia_semana_compra,Produto Fonte,Fonte Campanha,Sexo,Formacao
1049.97,97.14,1,Janeiro,Domingo,Outros,Lista Espera,Outros,Não Informado
2222.02,1165.68,0,Janeiro,Domingo,Excel,Lista Espera,Outros,Não Informado
1075.63,97.14,1,Janeiro,Domingo,Comunidade,Lista Espera,Feminino,Superior Completo
1321.88,97.14,1,Janeiro,Domingo,Python,Lista Espera,Masculino,Não Informado
1807.78,997.0,0,Janeiro,Domingo,Power BI,Lista Espera,Outros,Não Informado
386.47,97.14,1,Janeiro,Domingo,Power BI,Lista Espera,Outros,Não Informado
2510.22,997.0,0,Janeiro,Domingo,Comunidade,Lista Espera,Outros,Não Informado
535.61,97.14,1,Janeiro,Domingo,Outros,Lista Espera,Outros,Não Informado
737.2,97.14,1,Janeiro,Domingo,Python,Tráfego Direto,Outros,Não Informado
2316.66,1165.68,0,Janeiro,Domingo,Python,Tráfego Direto,Outros,Não Informado
3193.72,1165.68,0,Janeiro,Domingo,Python,Tráfego Direto,Outros,Não Informado
2689.26,997.0,0,Janeiro,Domingo,Outros,Lista Espera,Outros,Não Informado
1079.14,97.14,1,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
1316.38,97.14,1,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
1182.39,97.14,1,Janeiro,Segunda,Power BI,Tráfego Direto,Feminino,Superior Completo
1960.48,997.0,0,Janeiro,Segunda,Excel,Tráfego Direto,Outros,Não Informado
3235.2,1165.68,0,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
2463.08,1165.68,0,Janeiro,Segunda,Power BI,Tráfego Direto,Outros,Não Informado
1690.43,97.14,1,Janeiro,Segunda,Power BI,Lançamento,Outros,Não Informado
720.43,97.14,1,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
2754.93,1165.68,0,Janeiro,Segunda,Python,Lista Espera,Outros,Não Informado
700.99,97.14,1,Janeiro,Segunda,Power BI,Lista Espera,Feminino,Superior Incompleto
3414.42,997.0,0,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
2367.27,997.0,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
2278.66,997.0,0,Janeiro,Segunda,Python,Tráfego Direto,Outros,Não Informado
867.44,97.14,1,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
2968.0,1165.68,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
2813.47,1085.64,0,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
904.66,97.14,1,Janeiro,Segunda,Outros,Lista Espera,Outros,Não Informado
1313.82,97.14,1,Janeiro,Segunda,Comunidade,Checkout,Outros,Não Informado
1779.93,97.14,1,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
539.96,97.14,1,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
586.38,97.14,1,Janeiro,Segunda,Power BI,Outros,Outros,Não Informado
2033.52,997.0,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
1357.55,97.14,1,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
3320.07,1165.68,0,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
2640.83,1165.68,0,Janeiro,Segunda,Comunidade,Lista Espera,Masculino,Superior Completo
270.38,97.14,1,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
278.31,97.14,1,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
1025.08,97.14,1,Janeiro,Segunda,Outros,Lista Espera,Outros,Não Informado
1121.99,97.14,1,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
3282.87,1138.6,0,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
696.47,155.59,1,Janeiro,Segunda,Ciência de Dados,Outros,Outros,Não Informado
763.24,97.14,1,Janeiro,Segunda,Excel,Tráfego Direto,Outros,Não Informado
2757.59,1165.68,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
806.42,97.14,1,Janeiro,Segunda,Outros,Lista Espera,Masculino,Superior+
1386.88,97.14,1,Janeiro,Segunda,Power BI,Tráfego Direto,Feminino,Superior Completo
1208.91,97.14,1,Janeiro,Segunda,Comunidade,Checkout,Outros,Não Informado
3092.22,1165.68,0,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
729.92,97.14,1,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
2694.89,1165.68,0,Janeiro,Terça,Outros,Lista Espera,Outros,Não Informado
3368.11,1165.68,0,Janeiro,Terça,Power BI,Lista Espera,Outros,Não Informado
2010.83,1165.68,0,Janeiro,Terça,Excel,Lista Espera,Masculino,Médio
2586.68,1165.68,0,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
457.58,97.14,1,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
2325.08,1165.68,0,Janeiro,Terça,Excel,Tráfego Direto,Masculino,Superior Incompleto
506.42,97.14,1,Janeiro,Terça,Excel,Tráfego Direto,Outros,Não Informado
3335.28,1085.64,0,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
1507.17,797.0,0,Janeiro,Terça,Comunidade,Outros,Outros,Não Informado
1185.91,97.14,1,Janeiro,Terça,Comunidade,Lista Espera,Masculino,Médio
1295.74,931.8,0,Janeiro,Terça,Comunidade,Outros,Outros,Não Informado
526.17,97.14,1,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
2027.89,797.0,0,Janeiro,Terça,Comunidade,Outros,Feminino,Superior Completo
2892.28,997.0,0,Janeiro,Terça,Python,Lista Espera,Outros,Não Informado
3005.56,997.0,0,Janeiro,Terça,Outros,Lista Espera,Outros,Não Informado
1497.35,97.14,1,Janeiro,Terça,Comunidade,Checkout,Masculino,Não Informado
569.17,97.14,1,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
2614.45,1165.68,0,Janeiro,Terça,Python,Lista Espera,Outros,Não Informado
3229.86,997.0,0,Janeiro,Terça,Power BI,Lista Espera,Outros,Não Informado
2751.67,1165.68,0,Janeiro,Terça,Python,Lista Espera,Outros,Não Informado
199.89,97.14,1,Janeiro,Terça,Python,Lista Espera,Outros,Não Informado
171.98,97.14,1,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
230.23,97.14,1,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
2950.21,1165.68,0,Janeiro,Terça,Outros,Lista Espera,Masculino,Superior Completo
3120.62,1165.68,0,Janeiro,Terça,Power BI,Lista Espera,Masculino,Não Informado
1295.27,97.14,1,Janeiro,Terça,Power BI,Tráfego Direto,Outros,Não Informado
2279.2,997.0,0,Janeiro,Terça,Excel,Lista Espera,Feminino,Superior Completo
2778.78,1165.68,0,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
1412.42,97.14,1,Janeiro,Terça,Comunidade,Checkout,Outros,Não Informado
2338.89,997.0,0,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
2821.0,1059.84,0,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
410.61,97.14,1,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
1061.91,97.14,1,Janeiro,Terça,Power BI,Lançamento,Outros,Não Informado
502.45,97.14,1,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
1852.5,1138.6,0,Janeiro,Terça,Comunidade,Outros,Outros,Não Informado
1292.24,97.14,1,Janeiro,Quarta,Power BI,Lista Espera,Masculino,Não Informado
2590.82,1085.64,0,Janeiro,Quarta,Power BI,Tráfego Direto,Outros,Não Informado
702.04,97.14,1,Janeiro,Quarta,Comunidade,Lista Espera,Masculino,Superior Completo
3291.9,1165.68,0,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
2924.58,1165.68,0,Janeiro,Quarta,Comunidade,Lista Espera,Outros,Não Informado
3132.35,997.0,0,Janeiro,Quarta,Power BI,Lista Espera,Feminino,Superior+
2898.66,1165.68,0,Janeiro,Quarta,Power BI,Tráfego Direto,Outros,Não Informado
2634.22,1165.68,0,Janeiro,Quarta,Python,Lista Espera,Outros,Não Informado
2608.16,1165.68,0,Janeiro,Quarta,Excel,Tráfego Direto,Outros,Não Informado
2194.3,1165.68,0,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
2275.29,1138.6,0,Janeiro,Quarta,Power BI,Lista Espera,Masculino,Superior Incompleto
26.09,97.14,1,Janeiro,Quarta,Comunidade,Lista Espera,Outros,Não Informado
2243.66,1165.68,0,Janeiro,Quarta,Excel,Lista Espera,Outros,Não Informado
2900.91,1165.68,0,Janeiro,Quarta,Outros,Lista Espera,Outros,Não Informado
2290.12,1165.68,0,Janeiro,Quarta,Excel,Lista Espera,Outros,Não Informado
2857.07,1165.68,0,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
1503.45,97.14,1,Janeiro,Quarta,Python,Lista Espera,Masculino,Não Informado
519.27,66.42,0,Janeiro,Quarta,Outros,Outros,Masculino,Não Informado
